DIRECTORIO,SECUENCIA_PH,SECUENCIA_P,SECUENCIA_ENCUESTA,TIPO,P3077,P3078,P3079,P3080,P3081,P3082,P3083,P3084,P2990,P3085,P3099,CLASE_TE,COD_DEPTO,AREA,F_EXP
7281389,1,1,1,3,,2,,2,,,,2,2,36,54,1,41,41,20.3328778160904
7281422,1,2,4,1,2,1,1200000,2,,2,,2,2,3,40,1,41,41,9.19756915168728
7281422,1,2,1,1,2,2,1200000,2,,2,,2,2,3,999,1,41,41,9.19756915168728
7281422,1,2,2,1,2,2,1200000,2,,2,,2,2,3,999,1,41,41,9.19756915168728
7281422,1,2,3,1,2,2,1200000,2,,2,,2,2,3,999,1,41,41,9.19756915168728
7281459,1,1,1,3,,2,,2,,,,2,2,24,18,1,41,41,22.5773349624615
7281464,1,1,1,3,,2,,2,,,,2,2,84,42,1,41,41,16.8622101114267
7281468,1,3,1,2,,1,,2,,,,2,2,96,65,1,41,41,23.5097785642185
7281470,1,1,1,2,,2,,2,,,,2,2,120,63,1,41,41,20.1859943378226
7281496,1,1,1,1,2,1,1000000,1,330000,2,,1,1,60,30,1,41,41,9.71963437279769
7281504,1,1,2,1,1,1,1400000,2,,2,,2,2,8,34,1,41,41,16.4423265479357
7281504,1,1,1,1,1,1,1400000,2,,2,,2,2,36,30,1,41,41,16.4423265479357
7281526,1,2,1,3,,2,,2,,,,2,2,18,44,1,41,41,7.37494247173111
7281528,1,1,1,3,,1,,2,,,,2,2,60,47,1,41,41,9.73335144747391
7281528,1,2,1,1,2,1,150000,2,,2,,2,2,1,18,1,41,41,9.73335144747391
7281559,1,1,1,1,2,1,600000,2,,2,,2,2,84,50,1,47,47,22.2123805353278
7281589,1,1,1,3,,2,,2,,,,2,2,96,40,1,47,47,14.7765370086249
7281654,1,1,1,2,,1,,2,,,,2,2,70,45,1,47,47,19.8561689268304
7281671,1,1,1,3,,2,,2,,,,2,2,180,36,1,47,47,23.3227411910038
7281749,1,2,1,1,2,2,300000,2,,2,,2,2,3,25,1,88,88,2.21103497989844
7281766,1,1,1,1,2,1,300000,2,,2,,2,2,8,30,1,44,"",29.4815340760764
7281767,1,1,2,3,,1,,2,,,,2,2,24,20,1,44,"",29.3559679608497
7281767,1,1,1,3,,1,,2,,,,2,2,36,28,1,44,"",29.3559679608497
7281779,1,2,1,2,,2,,2,,,,2,2,66,24,2,15,"",162.877694710149
7281786,1,1,1,2,,2,,2,,,,2,2,8,48,2,23,"",104.515795780183
7281786,1,1,2,2,,2,,2,,,,2,2,8,38,2,23,"",104.515795780183
7281786,1,1,3,2,,2,,2,,,,2,2,8,51,2,23,"",104.515795780183
7281799,1,2,1,3,,1,,2,,,,2,2,120,59,2,23,"",101.612165725805
7281816,1,2,1,1,1,1,1200000,1,280000,2,,1,1,60,52,1,05,"",15.4112020643849
7281816,1,2,5,1,1,2,1200000,1,280000,2,,1,1,24,28,1,05,"",15.4112020643849
7281816,1,2,1,2,,1,,1,600000,,,1,1,120,50,1,05,"",15.4112020643849
7281816,1,2,3,1,1,1,1200000,1,280000,2,,1,1,24,30,1,05,"",15.4112020643849
7281816,1,2,4,1,1,2,1200000,1,280000,2,,1,1,24,38,1,05,"",15.4112020643849
7281816,1,2,2,1,1,1,1200000,1,280000,2,,1,1,24,41,1,05,"",15.4112020643849
7281844,1,2,1,2,,2,,2,,,,2,2,12,36,1,05,05,114.236422255039
7281864,1,1,1,2,,2,,2,,,,2,2,12,78,1,08,08,36.5727074903421
7281867,1,1,2,1,2,2,720000,2,,2,,2,2,2,42,1,11,11,196.058122539501
7281867,1,1,1,1,2,2,960000,2,,2,,2,2,3,40,1,11,11,196.058122539501
7281882,1,1,1,1,2,1,1000000,2,,2,,2,2,36,23,1,13,13,26.0798700746856
7281882,1,1,2,1,2,1,1000000,2,,2,,2,2,36,28,1,13,13,26.0798700746856
7281986,1,1,1,3,,2,,3,140000,,,2,2,180,49,1,18,18,10.3012803460033
7282017,1,1,4,1,2,1,800000,2,,2,,2,2,24,27,1,20,20,15.2687393175923
7282017,1,1,1,1,2,1,1500000,2,,2,,2,2,60,48,1,20,20,15.2687393175923
7282017,1,1,5,1,2,1,800000,2,,2,,2,2,36,30,1,20,20,15.2687393175923
7282017,1,1,2,1,2,1,1500000,2,,2,,2,2,36,51,1,20,20,15.2687393175923
7282017,1,1,3,1,2,1,1500000,2,,2,,2,2,72,37,1,20,20,15.2687393175923
7282023,1,1,1,1,2,1,868990,2,,2,,2,2,8,18,1,20,20,13.5300990927023
7282023,1,1,1,3,,2,,2,,,,2,2,24,27,1,20,20,13.5300990927023
7282045,1,2,1,3,,1,,2,,,,2,2,25,67,1,23,23,23.8318573983382
7282076,1,1,1,1,1,1,300000,2,,2,,2,2,36,21,1,23,23,8.78415020095379
7282082,1,2,1,1,1,2,1000000,1,224828,2,,2,2,24,26,1,23,23,8.78415020095379
